Time - Filtered	Amplitude - Filtered
44:46,0	2,77774
44:46,0	2,76972
44:46,1	2,76728
44:46,1	2,76908
44:46,1	2,76664
44:46,1	2,76123
44:46,1	2,76402
44:46,1	2,76518
44:46,1	2,76902
44:46,1	2,76792
44:46,2	2,77123
44:46,2	2,77443
44:46,2	2,77681
44:46,2	2,77536
44:46,2	2,77338
44:46,2	2,77414
44:46,2	2,77768
44:46,2	2,77629
44:46,3	2,77663
44:46,3	2,77716
44:46,3	2,7714
44:46,3	2,77681
44:46,3	2,7857
44:46,3	2,79082
44:46,3	2,7871
44:46,3	2,79465
44:46,4	2,79436
44:46,4	2,78902
44:46,4	2,78123
44:46,4	2,77762
44:46,4	2,77257
44:46,4	2,77047
44:46,4	2,7635
44:46,4	2,76332
44:46,5	2,7753
44:46,5	2,7696
44:46,5	2,76879
44:46,5	2,76954
44:46,5	2,76995
44:46,5	2,76669
44:46,5	2,77047
44:46,5	2,76733
44:46,6	2,76687
44:46,6	2,76925
44:46,6	2,76792
44:46,6	2,76071
44:46,6	2,76431
44:46,6	2,77001
44:46,6	2,77018
44:46,7	2,76821
44:46,7	2,78012
44:46,7	2,77832
44:46,7	2,7728
44:46,7	2,77623
44:46,7	2,77158
44:46,7	2,77059
44:46,7	2,77001
44:46,8	2,77826
44:46,8	2,77675
44:46,8	2,77722
44:46,8	2,78006
44:46,8	2,78035
44:46,8	2,76699
44:46,8	2,76774
44:46,8	2,76594
44:46,9	2,76489
44:46,9	2,76303
44:46,9	2,77431
44:46,9	2,77507
44:46,9	2,77326
44:46,9	2,76669
44:46,9	2,76821
44:46,9	2,76478
44:47,0	2,76204
44:47,0	2,77169
44:47,0	2,77315
44:47,0	2,77797
44:47,0	2,77867
44:47,0	2,77902
44:47,0	2,77884
44:47,0	2,78128
44:47,1	2,7778
44:47,1	2,77675
44:47,1	2,78297
44:47,1	2,77652
44:47,1	2,7714
44:47,1	2,7714
44:47,1	2,77384
44:47,1	2,77012
44:47,2	2,76699
44:47,2	2,77001
44:47,2	2,77355
44:47,2	2,76885
44:47,2	2,77076
44:47,2	2,76582
44:47,2	2,76966
44:47,2	2,7714
44:47,3	2,77251
44:47,3	2,77239
44:47,3	2,77466
44:47,3	2,77646
44:47,3	2,77739
44:47,3	2,78006
44:47,3	2,78146
44:47,3	2,78559
44:47,4	2,78373
44:47,4	2,77687
44:47,4	2,77809
44:47,4	2,77937
44:47,4	2,77367
44:47,4	2,77094
44:47,4	2,77623
44:47,4	2,77501
44:47,5	2,77291
44:47,5	2,77181
44:47,5	2,77169
44:47,5	2,77547
44:47,5	2,77286
44:47,5	2,77756
44:47,5	2,77826
44:47,5	2,7757
44:47,6	2,77745
44:47,6	2,77588
44:47,6	2,78158
44:47,6	2,77541
44:47,6	2,76919
44:47,6	2,77018
44:47,6	2,77094
44:47,6	2,77408
44:47,7	2,7714
44:47,7	2,78181
44:47,7	2,78564
44:47,7	2,7778
44:47,7	2,77855
44:47,7	2,78437
44:47,7	2,78349
44:47,7	2,7821
44:47,8	2,78111
44:47,8	2,77646
44:47,8	2,771
44:47,8	2,77065
44:47,8	2,77082
44:47,8	2,77053
44:47,8	2,77809
44:47,8	2,77466
44:47,9	2,77344
44:47,9	2,77472
44:47,9	2,77448
44:47,9	2,77274
44:47,9	2,77431
44:47,9	2,77902
44:47,9	2,77582
44:48,0	2,77745
44:48,0	2,77448
44:48,0	2,77361
44:48,0	2,76728
44:48,0	2,76443
44:48,0	2,76861
44:48,0	2,78059
44:48,0	2,77733
44:48,1	2,78088
44:48,1	2,78158
44:48,1	2,77477
44:48,1	2,78146
44:48,1	2,77908
44:48,1	2,77408
44:48,1	2,77675
44:48,1	2,77855
44:48,2	2,77512
44:48,2	2,77652
44:48,2	2,77408
44:48,2	2,78053
44:48,2	2,77536
44:48,2	2,76902
44:48,2	2,77355
44:48,3	2,77071
44:48,3	2,766
44:48,3	2,7685
44:48,3	2,76809
44:48,3	2,77134
44:48,3	2,77605
44:48,3	2,77879
44:48,4	2,77838
44:48,4	2,77762
44:48,4	2,78477
44:48,4	2,78123
44:48,4	2,78361
44:48,4	2,78535
44:48,4	2,78588
44:48,5	2,77972
44:48,5	2,77315
44:48,5	2,77268
44:48,5	2,77082
44:48,5	2,77594
44:48,5	2,77489
44:48,5	2,76838
44:48,5	2,76402
44:48,6	2,75693
44:48,6	2,76216
44:48,6	2,76268
44:48,6	2,76855
44:48,6	2,77605
44:48,6	2,79215
44:48,6	2,79192
44:48,7	2,79245
44:48,7	2,78936
44:48,7	2,78582
44:48,7	2,77605
44:48,7	2,7757
44:48,7	2,77448
44:48,7	2,77094
44:48,7	2,78117
44:48,8	2,78512
44:48,8	2,78849
44:48,8	2,79059
44:48,8	2,78431
44:48,8	2,7864
44:48,8	2,78419
44:48,8	2,78192
44:48,9	2,77588
44:48,9	2,78146
