Time - Filtered	Amplitude - Filtered
01:48,7	3,05879
01:48,8	3,06164
01:48,8	3,06152
01:48,8	3,06106
01:48,8	3,06129
01:48,8	3,06112
01:48,8	3,05873
01:48,8	3,05612
01:48,8	3,05391
01:48,8	3,05432
01:48,8	3,05495
01:48,9	3,06141
01:48,9	3,06437
01:48,9	3,06536
01:48,9	3,06635
01:48,9	3,06972
01:48,9	3,0703
01:48,9	3,07338
01:48,9	3,0739
01:48,9	3,07454
01:48,9	3,07867
01:49,0	3,08135
01:49,0	3,07966
01:49,0	3,08053
01:49,0	3,08274
01:49,0	3,07867
01:49,0	3,07501
01:49,0	3,07902
01:49,0	3,08076
01:49,0	3,08245
01:49,0	3,08402
01:49,1	3,08565
01:49,1	3,08652
01:49,1	3,0857
01:49,1	3,08745
01:49,1	3,08954
01:49,1	3,08913
01:49,1	3,09076
01:49,1	3,09053
01:49,1	3,09315
01:49,1	3,09053
01:49,2	3,08913
01:49,2	3,08931
01:49,2	3,09129
01:49,2	3,0939
01:49,2	3,09809
01:49,2	3,10564
01:49,2	3,11244
01:49,2	3,11146
01:49,2	3,11518
01:49,2	3,11721
01:49,3	3,11948
01:49,3	3,12145
01:49,3	3,12308
01:49,3	3,12494
01:49,3	3,12692
01:49,3	3,12878
01:49,3	3,13006
01:49,3	3,1318
01:49,3	3,13366
01:49,3	3,13523
01:49,4	3,14168
01:49,4	3,14366
01:49,4	3,145
01:49,4	3,14668
01:49,4	3,14779
01:49,4	3,14918
01:49,4	3,14959
01:49,4	3,15366
01:49,4	3,15534
01:49,4	3,15401
01:49,5	3,15499
01:49,5	3,15511
01:49,5	3,15581
01:49,5	3,15668
01:49,5	3,15726
01:49,5	3,15749
01:49,5	3,15784
01:49,5	3,15871
01:49,5	3,1593
01:49,5	3,15941
01:49,6	3,15953
01:49,6	3,15976
01:49,6	3,15976
01:49,6	3,15976
01:49,6	3,1593
01:49,6	3,15656
01:49,6	3,1522
01:49,6	3,15255
01:49,6	3,14936
